DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,LTI,DART,DESCRIPTION,Number_OF_Incidents,HOURS_YOY,LTI_YOY,DART_YOY,OSHA_YOY,LTI_Rate,DART_Rate,OSHA_Rate
Waterfront Development Corp,10/7/2017,NULL,NULL,NULL,0,32099.6,1,1,1,6.230607235,6.230607235,6.230607235
Youth Detention Services      ,10/7/2017,NULL,NULL,NULL,0,244157.2833,10,10,13,8.191441078,8.191441078,10.6488734
Zoo,10/7/2017,NO,NO,"Concussion-Brain, cerebral",1,342804.78,1,1,22,0.583422437,0.583422437,12.8352936
Belle of Louisville           ,9/23/2017,NULL,NULL,NULL,0,72585.18,0,0,0,0,0,0
Codes & Regulations,9/23/2017,NULL,NULL,NULL,0,265106.83,1,5,15,0.754412853,3.772064266,11.3161928
Commonwealth Attorney         ,9/23/2017,NULL,NULL,NULL,0,39585,0,0,0,0,0,0
Community Services,9/23/2017,NULL,NULL,NULL,0,235697.72,0,0,3,0,0,2.545633449
Coroner                       ,9/23/2017,NULL,NULL,NULL,0,30828,0,0,0,0,0,0
Corrections                   ,9/23/2017,NO,YES,Fracture,1,1044920.39,33,50,67,6.316270659,9.570107059,12.82394346
Corrections                   ,9/23/2017,YES,YES,Strain (muscle/tendon),1,1044920.39,33,50,67,6.316270659,9.570107059,12.82394346
Corrections                   ,9/23/2017,NO,NO,Sudden Illness,1,1044920.39,33,50,67,6.316270659,9.570107059,12.82394346
County Attorney               ,9/23/2017,NULL,NULL,NULL,0,204045.3,0,0,0,0,0,0
Dept of Information Technology,9/23/2017,NULL,NULL,NULL,0,110761.5,0,0,1,0,0,1.805681577
Develop Louisville,9/23/2017,NULL,NULL,NULL,0,199725.75,0,0,2,0,0,2.002746266
Econ Growth & Innovation ,9/23/2017,NULL,NULL,NULL,0,43377.8,0,0,0,0,0,0
Econ Growth & Innovation-APCD,9/23/2017,NULL,NULL,NULL,0,90849.8,0,0,0,0,0,0
Emergency Mgt Agency/MetroSafe,9/23/2017,NULL,NULL,NULL,0,373270.2168,1,1,3,0.53580487,0.53580487,1.60741461
Fire & Rescue                 ,9/23/2017,YES,YES,Burn from heat,2,1210673.3,42,43,43,6.938287976,7.103485309,7.103485309
Fire & Rescue                 ,9/23/2017,YES,YES,Contusion/Bruise,5,1210673.3,42,43,43,6.938287976,7.103485309,7.103485309
Fire & Rescue                 ,9/23/2017,YES,YES,Strain (muscle/tendon),2,1210673.3,42,43,43,6.938287976,7.103485309,7.103485309
Fleet & Facilities,9/23/2017,NULL,NULL,NULL,0,336325.1533,3,5,10,1.783987888,2.973313147,5.946626293
Human Relations Commission    ,9/23/2017,NULL,NULL,NULL,0,26639.6,0,0,1,0,0,7.507620235
Human Resources,9/23/2017,NULL,NULL,NULL,0,75487.05,0,0,0,0,0,0
Internal Auditor              ,9/23/2017,NULL,NULL,NULL,0,12448.25,0,0,0,0,0,0
Kentuckiana Works Foundation,9/23/2017,NULL,NULL,NULL,0,45398.5,0,0,0,0,0,0
Library,9/23/2017,NULL,NULL,NULL,0,438567.65,2,3,4,0.912059975,1.368089963,1.82411995
Louisville Metro Council      ,9/23/2017,NULL,NULL,NULL,0,157321.2,0,0,0,0,0,0
Louisville Metro EMS,9/23/2017,YES,YES,Contusion/Bruise,1,517800.79,35,64,98,13.51871248,24.71993139,37.85239493
Louisville Metro EMS,9/23/2017,NO,NO,Multiple injuries,1,517800.79,35,64,98,13.51871248,24.71993139,37.85239493
Mayor's Office                ,9/23/2017,NULL,NULL,NULL,0,33305.9,0,0,0,0,0,0
Metro Animal Services         ,9/23/2017,NULL,NULL,NULL,0,116400,0,0,0,0,0,0
Metro Criminal Justice Comm   ,9/23/2017,NULL,NULL,NULL,0,6508.8,0,0,0,0,0,0
Metro Parks & Recreation,9/23/2017,NO,NO,Insect Bite,1,626274.8,17,31,40,5.428926727,9.899807561,12.77394524
Metro Police,9/23/2017,NO,NO,Animal Bite,1,3028037.02,41,67,132,2.708025016,4.425309173,8.718519564
Metro Police,9/23/2017,NO,NO,"Concussion-Brain, cerebral",1,3028037.02,41,67,132,2.708025016,4.425309173,8.718519564
Metro Police,9/23/2017,NO,YES,Multiple injuries,1,3028037.02,41,67,132,2.708025016,4.425309173,8.718519564
Metro Police,9/23/2017,YES,YES,Puncture,1,3028037.02,41,67,132,2.708025016,4.425309173,8.718519564
Office of Performance Improvmt,9/23/2017,NULL,NULL,NULL,0,26614.5,0,0,0,0,0,0
OMB ,9/23/2017,NULL,NULL,NULL,0,384358.3,1,1,2,0.520347811,0.520347811,1.040695622
Other Officials               ,9/23/2017,NULL,NULL,NULL,0,18540,0,0,0,0,0,0
Parking Authority of River Cty,9/23/2017,NULL,NULL,NULL,0,50353.8,0,0,1,0,0,3.971894872
Public Health & Wellness,9/23/2017,NULL,NULL,NULL,0,384420.47,3,3,4,1.560790975,1.560790975,2.081054633
PW&A ,9/23/2017,NO,YES,NULL,1,845389.95,15,65,80,3.548658226,15.37751898,18.9261772
PW&A ,9/23/2017,NO,NO,"Contact dermatitis (Rash, Poison Ivy)",1,845389.95,15,65,80,3.548658226,15.37751898,18.9261772
PW&A ,9/23/2017,NO,YES,Crushing,1,845389.95,15,65,80,3.548658226,15.37751898,18.9261772
PW&A ,9/23/2017,YES,YES,Cut or Laceration,1,845389.95,15,65,80,3.548658226,15.37751898,18.9261772
PW&A ,9/23/2017,NO,NO,Eye Injury,1,845389.95,15,65,80,3.548658226,15.37751898,18.9261772
PW&A ,9/23/2017,NO,NO,Irritation,1,845389.95,15,65,80,3.548658226,15.37751898,18.9261772
PW&A ,9/23/2017,NO,NO,Strain (muscle/tendon),1,845389.95,15,65,80,3.548658226,15.37751898,18.9261772
PW&A ,9/23/2017,YES,YES,Strain (muscle/tendon),1,845389.95,15,65,80,3.548658226,15.37751898,18.9261772
Waterfront Development Corp,9/23/2017,NULL,NULL,NULL,0,32089,1,1,1,6.232665399,6.232665399,6.232665399
Youth Detention Services      ,9/23/2017,NULL,NULL,NULL,0,245182.25,10,11,14,8.157197351,8.972917086,11.42007629
Zoo,9/23/2017,NO,NO,Other,1,342665.71,1,1,21,0.583659217,0.583659217,12.25684356
Belle of Louisville           ,9/9/2017,NULL,NULL,NULL,0,72612.57,0,0,0,0,0,0
Codes & Regulations,9/9/2017,NULL,NULL,NULL,0,264355.38,1,5,15,0.756557328,3.782786641,11.34835992
Commonwealth Attorney         ,9/9/2017,NULL,NULL,NULL,0,39885,0,0,0,0,0,0
Community Services,9/9/2017,NULL,NULL,NULL,0,237080.73,0,0,3,0,0,2.530783501
Coroner                       ,9/9/2017,NULL,NULL,NULL,0,30748,0,0,0,0,0,0
Corrections                   ,9/9/2017,NO,NO,Fracture,1,1043626.33,32,49,66,6.132463139,9.390334182,12.64820522
Corrections                   ,9/9/2017,YES,YES,Sprain  (ligament),1,1043626.33,32,49,66,6.132463139,9.390334182,12.64820522
Corrections                   ,9/9/2017,YES,YES,Strain (muscle/tendon),1,1043626.33,32,49,66,6.132463139,9.390334182,12.64820522
Corrections                   ,9/9/2017,NO,NO,Strain (muscle/tendon),1,1043626.33,32,49,66,6.132463139,9.390334182,12.64820522
Corrections                   ,9/9/2017,YES,YES,Tear of muscle/tendon/ligament,1,1043626.33,32,49,66,6.132463139,9.390334182,12.64820522
County Attorney               ,9/9/2017,NULL,NULL,NULL,0,203712.3,0,0,0,0,0,0
Dept of Information Technology,9/9/2017,NULL,NULL,NULL,0,110647.3,0,0,1,0,0,1.807545236
Develop Louisville,9/9/2017,NULL,NULL,NULL,0,200355.05,0,0,2,0,0,1.996455792
Econ Growth & Innovation ,9/9/2017,NULL,NULL,NULL,0,43263.8,0,0,0,0,0,0
Econ Growth & Innovation-APCD,9/9/2017,NULL,NULL,NULL,0,90906.4,0,0,0,0,0,0
Emergency Mgt Agency/MetroSafe,9/9/2017,NULL,NULL,NULL,0,373366.7501,1,1,3,0.535666339,0.535666339,1.606999016
Fire & Rescue                 ,9/9/2017,YES,YES,Sprain  (ligament),1,1209531,33,34,35,5.456660474,5.622013822,5.78736717
Fleet & Facilities,9/9/2017,NULL,NULL,NULL,0,337159.6033,3,5,10,1.779572624,2.965954373,5.931908746
Human Relations Commission    ,9/9/2017,NO,NO,Sprain  (ligament),1,26499.1,0,0,1,0,0,7.547426139
Human Resources,9/9/2017,NULL,NULL,NULL,0,75658.15,0,0,0,0,0,0
Internal Auditor              ,9/9/2017,NULL,NULL,NULL,0,12464.95,0,0,0,0,0,0
Kentuckiana Works Foundation,9/9/2017,NULL,NULL,NULL,0,45326.3,0,0,0,0,0,0
Library,9/9/2017,NULL,NULL,NULL,0,438339.25,2,3,5,0.912535211,1.368802817,2.281338028
Louisville Metro Council      ,9/9/2017,NULL,NULL,NULL,0,157602.2,0,0,0,0,0,0
Louisville Metro EMS,9/9/2017,NO,NO,Bacteria,2,519260.79,36,67,104,13.86586497,25.80591537,40.05694326
Louisville Metro EMS,9/9/2017,NO,NO,Bloodborne Pathogen Exposure,2,519260.79,36,67,104,13.86586497,25.80591537,40.05694326
Louisville Metro EMS,9/9/2017,NO,YES,Contusion/Bruise,1,519260.79,36,67,104,13.86586497,25.80591537,40.05694326
Louisville Metro EMS,9/9/2017,NO,YES,Sprain  (ligament),1,519260.79,36,67,104,13.86586497,25.80591537,40.05694326
Louisville Metro EMS,9/9/2017,NO,NO,Strain (muscle/tendon),2,519260.79,36,67,104,13.86586497,25.80591537,40.05694326
Louisville Metro EMS,9/9/2017,NO,YES,Strain (muscle/tendon),2,519260.79,36,67,104,13.86586497,25.80591537,40.05694326
Louisville Metro EMS,9/9/2017,YES,YES,Strain (muscle/tendon),1,519260.79,36,67,104,13.86586497,25.80591537,40.05694326
Mayor's Office                ,9/9/2017,NULL,NULL,NULL,0,33134.6,0,0,0,0,0,0
Metro Animal Services         ,9/9/2017,NULL,NULL,NULL,0,116399.85,0,0,0,0,0,0
Metro Criminal Justice Comm   ,9/9/2017,NULL,NULL,NULL,0,6527.3,0,0,0,0,0,0
Metro Parks & Recreation,9/9/2017,NULL,NULL,NULL,0,625919.45,18,32,40,5.751538796,10.22495786,12.78119732
Metro Police,9/9/2017,YES,YES,Contusion/Bruise,1,3023027.37,41,67,132,2.712512656,4.432642633,8.732967575
Metro Police,9/9/2017,NO,NO,Strain (muscle/tendon),1,3023027.37,41,67,132,2.712512656,4.432642633,8.732967575
Metro Police,9/9/2017,YES,YES,Sudden Illness,1,3023027.37,41,67,132,2.712512656,4.432642633,8.732967575
Metro Police,9/9/2017,NO,YES,Sudden Illness,1,3023027.37,41,67,132,2.712512656,4.432642633,8.732967575
Office of Performance Improvmt,9/9/2017,NULL,NULL,NULL,0,26640.8,0,0,0,0,0,0
OMB ,9/9/2017,NULL,NULL,NULL,0,386646.4,1,1,2,0.517268491,0.517268491,1.034536983
Other Officials               ,9/9/2017,NULL,NULL,NULL,0,19135,0,0,0,0,0,0
Parking Authority of River Cty,9/9/2017,NULL,NULL,NULL,0,50447,0,0,1,0,0,3.964556862
Public Health & Wellness,9/9/2017,NULL,NULL,NULL,0,383991.8,3,3,4,1.562533367,1.562533367,2.083377822
PW&A ,9/9/2017,NO,YES,Strain (muscle/tendon),1,845818.6,14,62,73,3.310402491,14.66035389,17.26138442
Waterfront Development Corp,9/9/2017,NULL,NULL,NULL,0,32008,1,1,1,6.248437891,6.248437891,6.248437891
Youth Detention Services      ,9/9/2017,NULL,NULL,NULL,0,245836.5667,11,12,16,8.94903484,9.762583462,13.01677795
Zoo,9/9/2017,NULL,NULL,NULL,0,343213.56,1,1,20,0.582727559,0.582727559,11.65455118
Belle of Louisville           ,8/26/2017,NULL,NULL,NULL,0,72476.24,0,0,0,0,0,0
Codes & Regulations,8/26/2017,NO,NO,Insect Sting,1,264225.78,1,5,17,0.756928412,3.784642059,12.867783
Codes & Regulations,8/26/2017,NO,NO,Strain (muscle/tendon),1,264225.78,1,5,17,0.756928412,3.784642059,12.867783
Codes & Regulations,8/26/2017,YES,YES,Strain (muscle/tendon),1,264225.78,1,5,17,0.756928412,3.784642059,12.867783
Commonwealth Attorney         ,8/26/2017,NULL,NULL,NULL,0,40230,0,0,0,0,0,0
Community Services,8/26/2017,NULL,NULL,NULL,0,238655.89,0,0,3,0,0,2.51408
Coroner                       ,8/26/2017,NULL,NULL,NULL,0,30588,0,0,0,0,0,0
Corrections                   ,8/26/2017,NULL,NULL,NULL,0,1043468.13,29,47,67,5.558387298,9.008420794,12.84179134
County Attorney               ,8/26/2017,NULL,NULL,NULL,0,203307.8,0,0,0,0,0,0
Dept of Information Technology,8/26/2017,NULL,NULL,NULL,0,110565.1,0,0,1,0,0,1.808889062
Develop Louisville,8/26/2017,NULL,NULL,NULL,0,200581.65,0,0,2,0,0,1.994200367
Econ Growth & Innovation ,8/26/2017,NULL,NULL,NULL,0,43231.8,0,0,0,0,0,0
Econ Growth & Innovation-APCD,8/26/2017,NULL,NULL,NULL,0,90682,0,0,0,0,0,0
Emergency Mgt Agency/MetroSafe,8/26/2017,NULL,NULL,NULL,0,373805.0334,1,1,3,0.535038274,0.535038274,1.605114823
Fire & Rescue                 ,8/26/2017,NULL,NULL,NULL,0,1208335.8,32,33,34,5.296540912,5.462057815,5.627574719
Fleet & Facilities,8/26/2017,NULL,NULL,NULL,0,337944.9033,3,5,10,1.775437339,2.959062232,5.918124464
Human Relations Commission    ,8/26/2017,NULL,NULL,NULL,0,26335.1,0,0,0,0,0,0
Human Resources,8/26/2017,NULL,NULL,NULL,0,75838.65,0,0,0,0,0,0
Internal Auditor              ,8/26/2017,NULL,NULL,NULL,0,12447.55,0,0,0,0,0,0
Kentuckiana Works Foundation,8/26/2017,NULL,NULL,NULL,0,45431.1,0,0,0,0,0,0
Library,8/26/2017,NULL,NULL,NULL,0,438085.35,2,3,5,0.913064087,1.36959613,2.282660217
Louisville Metro Council      ,8/26/2017,NULL,NULL,NULL,0,157912.95,0,0,0,0,0,0
Louisville Metro EMS,8/26/2017,NO,NO,Bloodborne Pathogen Exposure,1,520061.64,38,67,99,14.61365234,25.76617649,38.07241003
Louisville Metro EMS,8/26/2017,NO,YES,Sprain  (ligament),1,520061.64,38,67,99,14.61365234,25.76617649,38.07241003
Louisville Metro EMS,8/26/2017,NO,YES,Strain (muscle/tendon),1,520061.64,38,67,99,14.61365234,25.76617649,38.07241003
Mayor's Office                ,8/26/2017,NULL,NULL,NULL,0,33084.4,0,0,0,0,0,0
Metro Animal Services         ,8/26/2017,NULL,NULL,NULL,0,116355,0,0,0,0,0,0
Metro Criminal Justice Comm   ,8/26/2017,NULL,NULL,NULL,0,6507.1,0,0,0,0,0,0
Metro Parks & Recreation,8/26/2017,YES,YES,Contusion/Bruise,1,626209.1,18,32,40,5.74887845,10.22022836,12.77528544
Metro Parks & Recreation,8/26/2017,NO,NO,Cut or Laceration,1,626209.1,18,32,40,5.74887845,10.22022836,12.77528544
Metro Parks & Recreation,8/26/2017,YES,YES,Strain (muscle/tendon),1,626209.1,18,32,40,5.74887845,10.22022836,12.77528544
Metro Police,8/26/2017,YES,YES,"Concussion-Brain, cerebral",2,3018639.97,42,68,133,2.782710122,4.505340198,8.811915387
Metro Police,8/26/2017,NO,NO,Cut or Laceration,1,3018639.97,42,68,133,2.782710122,4.505340198,8.811915387
Metro Police,8/26/2017,NO,NO,Multiple injuries,1,3018639.97,42,68,133,2.782710122,4.505340198,8.811915387
Metro Police,8/26/2017,NO,NO,Sprain  (ligament),1,3018639.97,42,68,133,2.782710122,4.505340198,8.811915387
Office of Performance Improvmt,8/26/2017,NULL,NULL,NULL,0,26514.4,0,0,0,0,0,0
OMB ,8/26/2017,NULL,NULL,NULL,0,388553.8,1,1,2,0.514729234,0.514729234,1.029458469
Other Officials               ,8/26/2017,NULL,NULL,NULL,0,19500,0,0,0,0,0,0
Parking Authority of River Cty,8/26/2017,NULL,NULL,NULL,0,50519.6,0,0,1,0,0,3.958859532
Public Health & Wellness,8/26/2017,NULL,NULL,NULL,0,383844.74,3,3,4,1.56313201,1.56313201,2.084176013
PW&A ,8/26/2017,NO,NO,"Contact dermatitis (Rash, Poison Ivy)",2,845420.45,14,62,75,3.311961522,14.66725817,17.74265101
PW&A ,8/26/2017,NO,YES,Strain (muscle/tendon),1,845420.45,14,62,75,3.311961522,14.66725817,17.74265101
PW&A ,8/26/2017,NO,YES,Stress,1,845420.45,14,62,75,3.311961522,14.66725817,17.74265101
Waterfront Development Corp,8/26/2017,NULL,NULL,NULL,0,31874,1,1,1,6.274706657,6.274706657,6.274706657
Youth Detention Services      ,8/26/2017,YES,YES,Cut or Laceration,1,246324.5167,15,16,20,12.17905567,12.99099271,16.23874089
Youth Detention Services      ,8/26/2017,YES,YES,Sprain  (ligament),1,246324.5167,15,16,20,12.17905567,12.99099271,16.23874089
Zoo,8/26/2017,NO,NO,Contusion/Bruise,1,343213.26,1,1,20,0.582728068,0.582728068,11.65456137
Belle of Louisville           ,8/12/2017,NULL,NULL,NULL,0,72332.57,0,0,0,0,0,0
Codes & Regulations,8/12/2017,NULL,NULL,NULL,0,264148.23,1,6,17,0.757150635,4.542903808,12.87156079
Commonwealth Attorney         ,8/12/2017,NULL,NULL,NULL,0,40575,0,0,0,0,0,0
Community Services,8/12/2017,NULL,NULL,NULL,0,239974.16,0,0,3,0,0,2.500269196
Coroner                       ,8/12/2017,NULL,NULL,NULL,0,30428,0,0,0,0,0,0
Corrections                   ,8/12/2017,YES,YES,Dislocation,1,1040660.87,31,49,69,5.957752596,9.417092813,13.26080417
County Attorney               ,8/12/2017,NULL,NULL,NULL,0,202852.9,0,0,0,0,0,0
Dept of Information Technology,8/12/2017,NULL,NULL,NULL,0,110495.6,0,0,1,0,0,1.810026825
Develop Louisville,8/12/2017,NULL,NULL,NULL,0,201072.6,0,0,2,0,0,1.989331217
Econ Growth & Innovation ,8/12/2017,NULL,NULL,NULL,0,43102.8,0,0,0,0,0,0
Econ Growth & Innovation-APCD,8/12/2017,NULL,NULL,NULL,0,90689.6,0,0,0,0,0,0
Emergency Mgt Agency/MetroSafe,8/12/2017,NULL,NULL,NULL,0,374964.9867,1,1,3,0.533383135,0.533383135,1.600149404
Fire & Rescue                 ,8/12/2017,NULL,NULL,NULL,0,1207706.05,34,35,37,5.630509179,5.79611239,6.127318812
Fleet & Facilities,8/12/2017,NULL,NULL,NULL,0,338779.0033,3,5,10,1.771066076,2.951776793,5.903553586
Human Relations Commission    ,8/12/2017,NULL,NULL,NULL,0,26153.6,0,0,0,0,0,0
Human Resources,8/12/2017,NULL,NULL,NULL,0,76204.05,0,0,0,0,0,0
Internal Auditor              ,8/12/2017,NULL,NULL,NULL,0,12450.75,0,0,0,0,0,0
Kentuckiana Works Foundation,8/12/2017,NULL,NULL,NULL,0,45548.5,0,0,0,0,0,0
Library,8/12/2017,NULL,NULL,NULL,0,438704.55,3,4,6,1.367663043,1.823550725,2.735326087
Louisville Metro Council      ,8/12/2017,NULL,NULL,NULL,0,158190,0,0,0,0,0,0
Louisville Metro EMS,8/12/2017,NO,NO,Human Bite,2,521104.72,39,67,99,14.96820063,25.71460109,37.99620161
Louisville Metro EMS,8/12/2017,NO,YES,Sprain  (ligament),1,521104.72,39,67,99,14.96820063,25.71460109,37.99620161
Louisville Metro EMS,8/12/2017,YES,YES,Sprain  (ligament),1,521104.72,39,67,99,14.96820063,25.71460109,37.99620161
Louisville Metro EMS,8/12/2017,NO,YES,Strain (muscle/tendon),1,521104.72,39,67,99,14.96820063,25.71460109,37.99620161
Mayor's Office                ,8/12/2017,NULL,NULL,NULL,0,32989.3,0,0,0,0,0,0
Metro Animal Services         ,8/12/2017,NULL,NULL,NULL,0,116360.02,0,0,0,0,0,0
Metro Criminal Justice Comm   ,8/12/2017,NULL,NULL,NULL,0,6531.7,0,0,0,0,0,0
Metro Parks & Recreation,8/12/2017,NO,NO,Insect Sting,1,626700.25,16,30,38,5.10610934,9.573955013,12.12700968
Metro Parks & Recreation,8/12/2017,NO,YES,Strain (muscle/tendon),1,626700.25,16,30,38,5.10610934,9.573955013,12.12700968
Metro Police,8/12/2017,YES,YES,Cut or Laceration,1,3018349.67,40,66,130,2.650455008,4.373250764,8.613978777
Metro Police,8/12/2017,NO,NO,"Scratches, abrasions-superficial",1,3018349.67,40,66,130,2.650455008,4.373250764,8.613978777
Metro Police,8/12/2017,NO,YES,"Scratches, abrasions-superficial",1,3018349.67,40,66,130,2.650455008,4.373250764,8.613978777
Office of Performance Improvmt,8/12/2017,NULL,NULL,NULL,0,26482.1,0,0,0,0,0,0
OMB ,8/12/2017,NULL,NULL,NULL,0,390215.9,1,1,2,0.512536778,0.512536778,1.025073555
Other Officials               ,8/12/2017,NULL,NULL,NULL,0,19500,0,0,0,0,0,0
Parking Authority of River Cty,8/12/2017,NULL,NULL,NULL,0,50521,0,0,1,0,0,3.958749827
Public Health & Wellness,8/12/2017,NULL,NULL,NULL,0,383081.06,3,3,4,1.566248146,1.566248146,2.088330861
PW&A ,8/12/2017,NO,NO,Bloodborne Pathogen Exposure,1,845757,15,66,77,3.547118144,15.60731983,18.20853981
PW&A ,8/12/2017,NO,YES,Multiple injuries,1,845757,15,66,77,3.547118144,15.60731983,18.20853981
PW&A ,8/12/2017,NO,YES,Strain (muscle/tendon),3,845757,15,66,77,3.547118144,15.60731983,18.20853981
Waterfront Development Corp,8/12/2017,NULL,NULL,NULL,0,31954.35,1,1,1,6.258928753,6.258928753,6.258928753
Youth Detention Services      ,8/12/2017,NULL,NULL,NULL,0,247729.8733,14,15,19,11.30263364,12.10996462,15.33928851
Zoo,8/12/2017,NO,NO,Other,1,343460.81,1,1,19,0.582308066,0.582308066,11.06385325
Zoo,8/12/2017,NO,NO,Puncture,1,343460.81,1,1,19,0.582308066,0.582308066,11.06385325
Belle of Louisville           ,7/29/2017,NULL,NULL,NULL,0,72407.62,0,0,0,0,0,0
Codes & Regulations,7/29/2017,NULL,NULL,NULL,0,263740.1,1,6,18,0.758322303,4.549933817,13.64980145
Commonwealth Attorney         ,7/29/2017,NULL,NULL,NULL,0,40950,0,0,0,0,0,0
Community Services,7/29/2017,NULL,NULL,NULL,0,241159.19,0,0,3,0,0,2.487983145
Coroner                       ,7/29/2017,NULL,NULL,NULL,0,30268,0,0,0,0,0,0
Corrections                   ,7/29/2017,NO,NO,Cut or Laceration,1,1036708.41,31,49,69,5.980466581,9.452995563,13.3113611
County Attorney               ,7/29/2017,NULL,NULL,NULL,0,202481.9,0,0,0,0,0,0
Dept of Information Technology,7/29/2017,NULL,NULL,NULL,0,110375.8,0,0,1,0,0,1.811991397
Develop Louisville,7/29/2017,NULL,NULL,NULL,0,201404,0,0,2,0,0,1.986057874
Econ Growth & Innovation ,7/29/2017,NULL,NULL,NULL,0,42975.3,0,0,0,0,0,0
Econ Growth & Innovation-APCD,7/29/2017,NULL,NULL,NULL,0,90711.7,0,0,0,0,0,0
Emergency Mgt Agency/MetroSafe,7/29/2017,NULL,NULL,NULL,0,375594.2933,1,1,3,0.532489454,0.532489454,1.597468361
Fire & Rescue                 ,7/29/2017,YES,YES,Contusion/Bruise,1,1207984.65,35,36,38,5.794775621,5.960340638,6.291470674
Fire & Rescue                 ,7/29/2017,YES,YES,Other,1,1207984.65,35,36,38,5.794775621,5.960340638,6.291470674
Fire & Rescue                 ,7/29/2017,YES,YES,Strain (muscle/tendon),1,1207984.65,35,36,38,5.794775621,5.960340638,6.291470674
Fleet & Facilities,7/29/2017,YES,YES,"Concussion-Brain, cerebral",1,339113.9533,4,8,13,2.359089009,4.718178017,7.667039278
Human Relations Commission    ,7/29/2017,NULL,NULL,NULL,0,26195.9,0,0,0,0,0,0
Human Resources,7/29/2017,NULL,NULL,NULL,0,76391.55,0,0,0,0,0,0
Internal Auditor              ,7/29/2017,NULL,NULL,NULL,0,12430.85,0,0,0,0,0,0
Kentuckiana Works Foundation,7/29/2017,NULL,NULL,NULL,0,45481.2,0,0,0,0,0,0
